REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2022/09/01 00:05:00,7924.98,160.96,TRADE
NSW1,2022/09/01 00:10:00,7835.75,161,TRADE
NSW1,2022/09/01 00:15:00,7899.66,175.74,TRADE
NSW1,2022/09/01 00:20:00,7807.75,156.05,TRADE
NSW1,2022/09/01 00:25:00,7814.37,157.79,TRADE
NSW1,2022/09/01 00:30:00,7798.44,157.79,TRADE
NSW1,2022/09/01 00:35:00,7799.52,189.18,TRADE
NSW1,2022/09/01 00:40:00,7746.58,161,TRADE
NSW1,2022/09/01 00:45:00,7743.67,151.53,TRADE
NSW1,2022/09/01 00:50:00,7753.41,160.96,TRADE
NSW1,2022/09/01 00:55:00,7740.17,151.52,TRADE
NSW1,2022/09/01 01:00:00,7690.58,158.06,TRADE
NSW1,2022/09/01 01:05:00,7659.94,151.84,TRADE
NSW1,2022/09/01 01:10:00,7684.99,160.96,TRADE
NSW1,2022/09/01 01:15:00,7613.51,158.22,TRADE
NSW1,2022/09/01 01:20:00,7519.84,156.10,TRADE
NSW1,2022/09/01 01:25:00,7490.6,153.03,TRADE
NSW1,2022/09/01 01:30:00,7466.34,151.58,TRADE
NSW1,2022/09/01 01:35:00,7487.17,160.71,TRADE
NSW1,2022/09/01 01:40:00,7427.46,160.75,TRADE
NSW1,2022/09/01 01:45:00,7418.15,161.94,TRADE
NSW1,2022/09/01 01:50:00,7269.16,155.29,TRADE
NSW1,2022/09/01 01:55:00,7307.2,160.96,TRADE
NSW1,2022/09/01 02:00:00,7215.09,155.47,TRADE
NSW1,2022/09/01 02:05:00,7164.24,156.68,TRADE
NSW1,2022/09/01 02:10:00,7123.12,160.96,TRADE
NSW1,2022/09/01 02:15:00,7077.06,156.73,TRADE
NSW1,2022/09/01 02:20:00,6969.74,152.20,TRADE
NSW1,2022/09/01 02:25:00,6972.12,153.76,TRADE
NSW1,2022/09/01 02:30:00,6948.85,153.79,TRADE
NSW1,2022/09/01 02:35:00,6895.8,160.48,TRADE
NSW1,2022/09/01 02:40:00,6809.44,173.55,TRADE
NSW1,2022/09/01 02:45:00,6855.18,160.96,TRADE
NSW1,2022/09/01 02:50:00,6810.62,154.18,TRADE
NSW1,2022/09/01 02:55:00,6795.46,159.63,TRADE
NSW1,2022/09/01 03:00:00,6744.87,159.42,TRADE
NSW1,2022/09/01 03:05:00,6745.92,160.96,TRADE
NSW1,2022/09/01 03:10:00,6744.81,161,TRADE
NSW1,2022/09/01 03:15:00,6749.16,160.96,TRADE
NSW1,2022/09/01 03:20:00,6744.67,159.79,TRADE
NSW1,2022/09/01 03:25:00,6715.56,160.96,TRADE
NSW1,2022/09/01 03:30:00,6733.53,160.96,TRADE
NSW1,2022/09/01 03:35:00,6741.14,159.33,TRADE
NSW1,2022/09/01 03:40:00,6673.09,159.29,TRADE
NSW1,2022/09/01 03:45:00,6667.4,159.63,TRADE
NSW1,2022/09/01 03:50:00,6666.52,161,TRADE
NSW1,2022/09/01 03:55:00,6675.85,160.96,TRADE
NSW1,2022/09/01 04:00:00,6617.72,160.96,TRADE
NSW1,2022/09/01 04:05:00,6642.09,155.74,TRADE
NSW1,2022/09/01 04:10:00,6635.65,160.36,TRADE
NSW1,2022/09/01 04:15:00,6594.14,159.30,TRADE
NSW1,2022/09/01 04:20:00,6663.79,198.61,TRADE
NSW1,2022/09/01 04:25:00,6655.11,196.43,TRADE
NSW1,2022/09/01 04:30:00,6664.81,153.33,TRADE
NSW1,2022/09/01 04:35:00,6669.13,165.81,TRADE
NSW1,2022/09/01 04:40:00,6733.98,224.66,TRADE
NSW1,2022/09/01 04:45:00,6734.61,224.15,TRADE
NSW1,2022/09/01 04:50:00,6817.89,230.94,TRADE
NSW1,2022/09/01 04:55:00,6840.23,230,TRADE
NSW1,2022/09/01 05:00:00,6900.9,278,TRADE
NSW1,2022/09/01 05:05:00,7017.18,289.81,TRADE
NSW1,2022/09/01 05:10:00,7096.89,230.07,TRADE
NSW1,2022/09/01 05:15:00,7078.36,228.41,TRADE
NSW1,2022/09/01 05:20:00,7095.62,255.26,TRADE
NSW1,2022/09/01 05:25:00,7125.48,228.67,TRADE
NSW1,2022/09/01 05:30:00,7213.32,287.99,TRADE
NSW1,2022/09/01 05:35:00,7211.16,148.57,TRADE
NSW1,2022/09/01 05:40:00,7357.38,148.11,TRADE
NSW1,2022/09/01 05:45:00,7382.18,148.67,TRADE
NSW1,2022/09/01 05:50:00,7550.16,154.27,TRADE
NSW1,2022/09/01 05:55:00,7539.46,150.91,TRADE
NSW1,2022/09/01 06:00:00,7650.84,157.74,TRADE
NSW1,2022/09/01 06:05:00,7743.62,149.46,TRADE
NSW1,2022/09/01 06:10:00,7824.27,149.23,TRADE
NSW1,2022/09/01 06:15:00,7985.31,152.21,TRADE
NSW1,2022/09/01 06:20:00,8060.62,156.42,TRADE
NSW1,2022/09/01 06:25:00,8185.45,158.77,TRADE
NSW1,2022/09/01 06:30:00,8231.2,159.26,TRADE
NSW1,2022/09/01 06:35:00,8317.37,163.33,TRADE
NSW1,2022/09/01 06:40:00,8418.36,204.32,TRADE
NSW1,2022/09/01 06:45:00,8468.33,261.76,TRADE
NSW1,2022/09/01 06:50:00,8469.09,289.63,TRADE
NSW1,2022/09/01 06:55:00,8484.8,283.72,TRADE
NSW1,2022/09/01 07:00:00,8552.7,278.03,TRADE
NSW1,2022/09/01 07:05:00,8546.61,224.01,TRADE
NSW1,2022/09/01 07:10:00,8563.25,225.72,TRADE
NSW1,2022/09/01 07:15:00,8546.59,278,TRADE
NSW1,2022/09/01 07:20:00,8595.05,180.29,TRADE
NSW1,2022/09/01 07:25:00,8592.78,153.93,TRADE
NSW1,2022/09/01 07:30:00,8471.84,70,TRADE
NSW1,2022/09/01 07:35:00,8522.49,153.21,TRADE
NSW1,2022/09/01 07:40:00,8540.5,140.92,TRADE
NSW1,2022/09/01 07:45:00,8492.63,138.33,TRADE
NSW1,2022/09/01 07:50:00,8388.53,11.66,TRADE
NSW1,2022/09/01 07:55:00,8437.99,129.40,TRADE
NSW1,2022/09/01 08:00:00,8233.22,0.65,TRADE
NSW1,2022/09/01 08:05:00,8238.49,31.44,TRADE
NSW1,2022/09/01 08:10:00,8254.53,31.71,TRADE
NSW1,2022/09/01 08:15:00,8223.28,102.30,TRADE
NSW1,2022/09/01 08:20:00,8170.11,100,TRADE
NSW1,2022/09/01 08:25:00,8208.82,130.69,TRADE
NSW1,2022/09/01 08:30:00,8068.98,61.93,TRADE
NSW1,2022/09/01 08:35:00,7957.07,5.03,TRADE
NSW1,2022/09/01 08:40:00,7986.61,105.30,TRADE
NSW1,2022/09/01 08:45:00,7815.9,128.05,TRADE
NSW1,2022/09/01 08:50:00,7632.25,124.23,TRADE
NSW1,2022/09/01 08:55:00,7641.89,129.56,TRADE
NSW1,2022/09/01 09:00:00,7543.92,126.55,TRADE
NSW1,2022/09/01 09:05:00,7548.58,127,TRADE
NSW1,2022/09/01 09:10:00,7578.37,98.08,TRADE
NSW1,2022/09/01 09:15:00,7529.01,125.29,TRADE
NSW1,2022/09/01 09:20:00,7361.53,97.55,TRADE
NSW1,2022/09/01 09:25:00,7284.16,97.67,TRADE
NSW1,2022/09/01 09:30:00,7234.38,25.17,TRADE
NSW1,2022/09/01 09:35:00,7154.11,99.82,TRADE
NSW1,2022/09/01 09:40:00,7130.24,66.58,TRADE
NSW1,2022/09/01 09:45:00,7072.92,34.27,TRADE
NSW1,2022/09/01 09:50:00,7119.97,98.27,TRADE
NSW1,2022/09/01 09:55:00,7029.93,67.54,TRADE
NSW1,2022/09/01 10:00:00,6988.48,35.62,TRADE
NSW1,2022/09/01 10:05:00,6938.02,134.14,TRADE
NSW1,2022/09/01 10:10:00,6816.76,97.86,TRADE
NSW1,2022/09/01 10:15:00,6781.35,97.19,TRADE
NSW1,2022/09/01 10:20:00,6738.9,123.78,TRADE
NSW1,2022/09/01 10:25:00,6797.57,45.44,TRADE
NSW1,2022/09/01 10:30:00,6760.91,80.05,TRADE
NSW1,2022/09/01 10:35:00,6657.92,17.66,TRADE
NSW1,2022/09/01 10:40:00,6689.99,137.73,TRADE
NSW1,2022/09/01 10:45:00,6670.38,141.27,TRADE
NSW1,2022/09/01 10:50:00,6595.99,45.04,TRADE
NSW1,2022/09/01 10:55:00,6598.19,89.01,TRADE
NSW1,2022/09/01 11:00:00,6640.18,129.20,TRADE
NSW1,2022/09/01 11:05:00,6601,75.18,TRADE
NSW1,2022/09/01 11:10:00,6557.25,115.20,TRADE
NSW1,2022/09/01 11:15:00,6372.86,122.46,TRADE
NSW1,2022/09/01 11:20:00,6379.75,122.38,TRADE
NSW1,2022/09/01 11:25:00,6402.64,124.32,TRADE
NSW1,2022/09/01 11:30:00,6449.96,19,TRADE
NSW1,2022/09/01 11:35:00,6417.14,100.14,TRADE
NSW1,2022/09/01 11:40:00,6412.99,113.60,TRADE
NSW1,2022/09/01 11:45:00,6385.09,123.60,TRADE
NSW1,2022/09/01 11:50:00,6377.02,63.46,TRADE
NSW1,2022/09/01 11:55:00,6402.72,125.17,TRADE
NSW1,2022/09/01 12:00:00,6400.69,137.97,TRADE
NSW1,2022/09/01 12:05:00,6296.39,129.56,TRADE
NSW1,2022/09/01 12:10:00,6212.55,100.78,TRADE
NSW1,2022/09/01 12:15:00,6243.15,28.68,TRADE
NSW1,2022/09/01 12:20:00,6213.7,0,TRADE
NSW1,2022/09/01 12:25:00,6163.09,26.70,TRADE
NSW1,2022/09/01 12:30:00,6121.62,0,TRADE
NSW1,2022/09/01 12:35:00,6091.34,53.10,TRADE
NSW1,2022/09/01 12:40:00,6099.26,122.46,TRADE
NSW1,2022/09/01 12:45:00,6198.26,46.38,TRADE
NSW1,2022/09/01 12:50:00,6251.1,123.80,TRADE
NSW1,2022/09/01 12:55:00,6258.93,121.67,TRADE
NSW1,2022/09/01 13:00:00,6266.07,126.09,TRADE
NSW1,2022/09/01 13:05:00,6251.77,138.41,TRADE
NSW1,2022/09/01 13:10:00,6280.32,208.95,TRADE
NSW1,2022/09/01 13:15:00,6343.12,170.11,TRADE
NSW1,2022/09/01 13:20:00,6358.41,135.42,TRADE
NSW1,2022/09/01 13:25:00,6408.32,197.63,TRADE
NSW1,2022/09/01 13:30:00,6373.31,115,TRADE
NSW1,2022/09/01 13:35:00,6234.45,122.01,TRADE
NSW1,2022/09/01 13:40:00,6260.95,101.39,TRADE
NSW1,2022/09/01 13:45:00,6339.33,115,TRADE
NSW1,2022/09/01 13:50:00,6331.95,123.24,TRADE
NSW1,2022/09/01 13:55:00,6358.56,127.41,TRADE
NSW1,2022/09/01 14:00:00,6333.63,126.39,TRADE
NSW1,2022/09/01 14:05:00,6306.65,99.43,TRADE
NSW1,2022/09/01 14:10:00,6389.92,123.19,TRADE
NSW1,2022/09/01 14:15:00,6436.26,115,TRADE
NSW1,2022/09/01 14:20:00,6374.46,109.05,TRADE
NSW1,2022/09/01 14:25:00,6538.65,118.99,TRADE
NSW1,2022/09/01 14:30:00,6504.67,115,TRADE
NSW1,2022/09/01 14:35:00,6473.88,44.75,TRADE
NSW1,2022/09/01 14:40:00,6452.7,70,TRADE
NSW1,2022/09/01 14:45:00,6484.99,44.17,TRADE
NSW1,2022/09/01 14:50:00,6547.26,70,TRADE
NSW1,2022/09/01 14:55:00,6597.1,123.51,TRADE
NSW1,2022/09/01 15:00:00,6672.52,122.42,TRADE
NSW1,2022/09/01 15:05:00,6770.58,134.41,TRADE
NSW1,2022/09/01 15:10:00,6780.08,114.31,TRADE
NSW1,2022/09/01 15:15:00,6879.38,92.10,TRADE
NSW1,2022/09/01 15:20:00,6978.93,133.93,TRADE
NSW1,2022/09/01 15:25:00,7049.58,91.84,TRADE
NSW1,2022/09/01 15:30:00,7062.71,137.77,TRADE
NSW1,2022/09/01 15:35:00,7105.51,20.50,TRADE
NSW1,2022/09/01 15:40:00,7180.57,120.46,TRADE
NSW1,2022/09/01 15:45:00,7276.1,136.36,TRADE
NSW1,2022/09/01 15:50:00,7300.2,95.12,TRADE
NSW1,2022/09/01 15:55:00,7383.48,134.77,TRADE
NSW1,2022/09/01 16:00:00,7484.15,140.36,TRADE
NSW1,2022/09/01 16:05:00,7407.91,85.88,TRADE
NSW1,2022/09/01 16:10:00,7576.48,121.05,TRADE
NSW1,2022/09/01 16:15:00,7588.67,121.05,TRADE
NSW1,2022/09/01 16:20:00,7790.7,132.30,TRADE
NSW1,2022/09/01 16:25:00,7873.61,134.79,TRADE
NSW1,2022/09/01 16:30:00,7947.2,138.08,TRADE
NSW1,2022/09/01 16:35:00,8028.66,139.24,TRADE
NSW1,2022/09/01 16:40:00,8126.37,142.61,TRADE
NSW1,2022/09/01 16:45:00,8094.41,139.69,TRADE
NSW1,2022/09/01 16:50:00,8205.21,161,TRADE
NSW1,2022/09/01 16:55:00,8224.92,200.59,TRADE
NSW1,2022/09/01 17:00:00,8334.62,284.67,TRADE
NSW1,2022/09/01 17:05:00,8408.33,143.38,TRADE
NSW1,2022/09/01 17:10:00,8464.13,143.40,TRADE
NSW1,2022/09/01 17:15:00,8614.63,203.07,TRADE
NSW1,2022/09/01 17:20:00,8679.57,163.13,TRADE
NSW1,2022/09/01 17:25:00,8832.31,200.43,TRADE
NSW1,2022/09/01 17:30:00,8898.25,231,TRADE
NSW1,2022/09/01 17:35:00,9047.1,195.14,TRADE
NSW1,2022/09/01 17:40:00,9152.7,203.91,TRADE
NSW1,2022/09/01 17:45:00,9102.01,154.26,TRADE
NSW1,2022/09/01 17:50:00,9222.12,168.05,TRADE
NSW1,2022/09/01 17:55:00,9316.16,211.60,TRADE
NSW1,2022/09/01 18:00:00,9411.59,278.32,TRADE
NSW1,2022/09/01 18:05:00,9426.7,214.35,TRADE
NSW1,2022/09/01 18:10:00,9554.48,222.11,TRADE
NSW1,2022/09/01 18:15:00,9600.77,225.02,TRADE
NSW1,2022/09/01 18:20:00,9606.3,214.54,TRADE
NSW1,2022/09/01 18:25:00,9585.55,212.85,TRADE
NSW1,2022/09/01 18:30:00,9577.73,200.77,TRADE
NSW1,2022/09/01 18:35:00,9538.88,201.50,TRADE
NSW1,2022/09/01 18:40:00,9572.08,271.19,TRADE
NSW1,2022/09/01 18:45:00,9570.66,188.58,TRADE
NSW1,2022/09/01 18:50:00,9573.53,188.44,TRADE
NSW1,2022/09/01 18:55:00,9587.24,191.17,TRADE
NSW1,2022/09/01 19:00:00,9498.87,189.44,TRADE
NSW1,2022/09/01 19:05:00,9377.13,162,TRADE
NSW1,2022/09/01 19:10:00,9301.96,162,TRADE
NSW1,2022/09/01 19:15:00,9356.42,149.72,TRADE
NSW1,2022/09/01 19:20:00,9234.44,155.19,TRADE
NSW1,2022/09/01 19:25:00,9295.15,161,TRADE
NSW1,2022/09/01 19:30:00,9309.16,149.89,TRADE
NSW1,2022/09/01 19:35:00,9227.56,162,TRADE
NSW1,2022/09/01 19:40:00,9208.85,144.40,TRADE
NSW1,2022/09/01 19:45:00,9157.92,151.27,TRADE
NSW1,2022/09/01 19:50:00,9143.6,158.05,TRADE
NSW1,2022/09/01 19:55:00,9089.4,147.98,TRADE
NSW1,2022/09/01 20:00:00,9055.51,149.01,TRADE
NSW1,2022/09/01 20:05:00,9019.88,199.33,TRADE
NSW1,2022/09/01 20:10:00,9022.38,163.58,TRADE
NSW1,2022/09/01 20:15:00,8958.9,161,TRADE
NSW1,2022/09/01 20:20:00,8917.31,151.75,TRADE
NSW1,2022/09/01 20:25:00,8931.06,153.84,TRADE
NSW1,2022/09/01 20:30:00,8899.3,152.29,TRADE
NSW1,2022/09/01 20:35:00,8868.73,162,TRADE
NSW1,2022/09/01 20:40:00,8872.89,160.07,TRADE
NSW1,2022/09/01 20:45:00,8798.05,158.39,TRADE
NSW1,2022/09/01 20:50:00,8888.32,162,TRADE
NSW1,2022/09/01 20:55:00,8807.08,159.32,TRADE
NSW1,2022/09/01 21:00:00,8709.05,146.25,TRADE
NSW1,2022/09/01 21:05:00,8721.26,162,TRADE
NSW1,2022/09/01 21:10:00,8715.54,162,TRADE
NSW1,2022/09/01 21:15:00,8695.41,162,TRADE
NSW1,2022/09/01 21:20:00,8589.98,152.45,TRADE
NSW1,2022/09/01 21:25:00,8568.84,150.51,TRADE
NSW1,2022/09/01 21:30:00,8492.63,151.68,TRADE
NSW1,2022/09/01 21:35:00,8526.4,162,TRADE
NSW1,2022/09/01 21:40:00,8477.74,203.59,TRADE
NSW1,2022/09/01 21:45:00,8428.32,158.61,TRADE
NSW1,2022/09/01 21:50:00,8316.61,145.79,TRADE
NSW1,2022/09/01 21:55:00,8415.79,150.96,TRADE
NSW1,2022/09/01 22:00:00,8290.67,147.48,TRADE
NSW1,2022/09/01 22:05:00,8418.92,225.92,TRADE
NSW1,2022/09/01 22:10:00,8405.76,182.62,TRADE
NSW1,2022/09/01 22:15:00,8304.07,162,TRADE
NSW1,2022/09/01 22:20:00,8275.91,159.25,TRADE
NSW1,2022/09/01 22:25:00,8281.95,161.09,TRADE
NSW1,2022/09/01 22:30:00,8223.17,158.22,TRADE
NSW1,2022/09/01 22:35:00,8150.91,155.93,TRADE
NSW1,2022/09/01 22:40:00,8200.37,161.82,TRADE
NSW1,2022/09/01 22:45:00,8128.84,151.88,TRADE
NSW1,2022/09/01 22:50:00,8098.65,150.92,TRADE
NSW1,2022/09/01 22:55:00,8085.17,153.57,TRADE
NSW1,2022/09/01 23:00:00,8065.88,144.47,TRADE
NSW1,2022/09/01 23:05:00,8117.71,149.02,TRADE
NSW1,2022/09/01 23:10:00,8036.79,149.02,TRADE
NSW1,2022/09/01 23:15:00,8068.64,149.02,TRADE
NSW1,2022/09/01 23:20:00,7973.4,149.02,TRADE
NSW1,2022/09/01 23:25:00,8019.39,149.02,TRADE
NSW1,2022/09/01 23:30:00,7881.79,149.02,TRADE
NSW1,2022/09/01 23:35:00,8037.36,149.02,TRADE
NSW1,2022/09/01 23:40:00,7986.41,149.02,TRADE
NSW1,2022/09/01 23:45:00,7997.17,149.02,TRADE
NSW1,2022/09/01 23:50:00,7924.12,149.02,TRADE
NSW1,2022/09/01 23:55:00,7904.69,149.02,TRADE
NSW1,2022/09/02 00:00:00,7864.55,149.02,TRADE
NSW1,2022/09/02 00:05:00,7830.96,149.02,TRADE
NSW1,2022/09/02 00:10:00,7838.36,149.02,TRADE
NSW1,2022/09/02 00:15:00,7833.62,149.02,TRADE
NSW1,2022/09/02 00:20:00,7745.22,149.02,TRADE
NSW1,2022/09/02 00:25:00,7804.12,149.02,TRADE
NSW1,2022/09/02 00:30:00,7722.4,149.02,TRADE
NSW1,2022/09/02 00:35:00,7685.92,149.02,TRADE
NSW1,2022/09/02 00:40:00,7711.71,149.02,TRADE
NSW1,2022/09/02 00:45:00,7693.61,149.02,TRADE
NSW1,2022/09/02 00:50:00,7576.53,149.02,TRADE
NSW1,2022/09/02 00:55:00,7551.12,149.02,TRADE
NSW1,2022/09/02 01:00:00,7592.38,149.02,TRADE
NSW1,2022/09/02 01:05:00,7565.11,149.02,TRADE
NSW1,2022/09/02 01:10:00,7553.44,149.02,TRADE
NSW1,2022/09/02 01:15:00,7481.68,149.02,TRADE
NSW1,2022/09/02 01:20:00,7467.23,149.02,TRADE
NSW1,2022/09/02 01:25:00,7406.77,149.02,TRADE
NSW1,2022/09/02 01:30:00,7404.69,149.02,TRADE
NSW1,2022/09/02 01:35:00,7374.91,149.02,TRADE
NSW1,2022/09/02 01:40:00,7310.78,149.02,TRADE
NSW1,2022/09/02 01:45:00,7237.58,149.02,TRADE
NSW1,2022/09/02 01:50:00,7195.06,149.02,TRADE
NSW1,2022/09/02 01:55:00,7116.82,149.02,TRADE
NSW1,2022/09/02 02:00:00,7074.91,149.02,TRADE
NSW1,2022/09/02 02:05:00,7063.09,116.96,TRADE
NSW1,2022/09/02 02:10:00,7077.78,149.02,TRADE
NSW1,2022/09/02 02:15:00,6994.14,128,TRADE
NSW1,2022/09/02 02:20:00,6942.55,128,TRADE
NSW1,2022/09/02 02:25:00,6873.19,117.78,TRADE
NSW1,2022/09/02 02:30:00,6767.81,74.02,TRADE
NSW1,2022/09/02 02:35:00,6760.83,121.05,TRADE
NSW1,2022/09/02 02:40:00,6864.21,149.02,TRADE
NSW1,2022/09/02 02:45:00,6764.72,101.75,TRADE
NSW1,2022/09/02 02:50:00,6745.61,139.87,TRADE
NSW1,2022/09/02 02:55:00,6774.66,121.65,TRADE
NSW1,2022/09/02 03:00:00,6692.13,121.05,TRADE
NSW1,2022/09/02 03:05:00,6674.05,121.05,TRADE
NSW1,2022/09/02 03:10:00,6588.5,98.72,TRADE
NSW1,2022/09/02 03:15:00,6693.01,124.04,TRADE
NSW1,2022/09/02 03:20:00,6573.31,121.05,TRADE
NSW1,2022/09/02 03:25:00,6575.24,95.61,TRADE
NSW1,2022/09/02 03:30:00,6545.85,94.75,TRADE
NSW1,2022/09/02 03:35:00,6554.41,121.05,TRADE
NSW1,2022/09/02 03:40:00,6595.34,115,TRADE
NSW1,2022/09/02 03:45:00,6569.57,95.52,TRADE
NSW1,2022/09/02 03:50:00,6567.26,115,TRADE
NSW1,2022/09/02 03:55:00,6521.47,55.66,TRADE
NSW1,2022/09/02 04:00:00,6542.62,121.05,TRADE
NSW1,2022/09/02 04:05:00,6559.45,95.47,TRADE
NSW1,2022/09/02 04:10:00,6539.98,93.26,TRADE
NSW1,2022/09/02 04:15:00,6592.71,128.97,TRADE
NSW1,2022/09/02 04:20:00,6579.84,96.37,TRADE
NSW1,2022/09/02 04:25:00,6640.48,121.11,TRADE
NSW1,2022/09/02 04:30:00,6569.37,103.34,TRADE
NSW1,2022/09/02 04:35:00,6615.81,97.50,TRADE
NSW1,2022/09/02 04:40:00,6678.89,99,TRADE
NSW1,2022/09/02 04:45:00,6651.73,121.12,TRADE
NSW1,2022/09/02 04:50:00,6653.72,121.11,TRADE
NSW1,2022/09/02 04:55:00,6732.19,121.11,TRADE
NSW1,2022/09/02 05:00:00,6838.95,131.02,TRADE
NSW1,2022/09/02 05:05:00,6901.83,136.21,TRADE
NSW1,2022/09/02 05:10:00,6913.16,149,TRADE
NSW1,2022/09/02 05:15:00,7010.07,151.89,TRADE
NSW1,2022/09/02 05:20:00,6990.2,162,TRADE
NSW1,2022/09/02 05:25:00,7087.89,168,TRADE
NSW1,2022/09/02 05:30:00,7077.04,166.99,TRADE
NSW1,2022/09/02 05:35:00,7070.41,120.21,TRADE
NSW1,2022/09/02 05:40:00,7164.44,127.19,TRADE
NSW1,2022/09/02 05:45:00,7240.76,125.96,TRADE
NSW1,2022/09/02 05:50:00,7235.65,137.30,TRADE
NSW1,2022/09/02 05:55:00,7359.17,153.02,TRADE
NSW1,2022/09/02 06:00:00,7506.45,162,TRADE
NSW1,2022/09/02 06:05:00,7680.13,162,TRADE
NSW1,2022/09/02 06:10:00,7905.15,164.31,TRADE
NSW1,2022/09/02 06:15:00,7897.66,160.89,TRADE
NSW1,2022/09/02 06:20:00,8019.06,161.04,TRADE
NSW1,2022/09/02 06:25:00,8074.13,162,TRADE
NSW1,2022/09/02 06:30:00,8178.5,182.46,TRADE
NSW1,2022/09/02 06:35:00,8212.71,162,TRADE
NSW1,2022/09/02 06:40:00,8345.84,162.77,TRADE
NSW1,2022/09/02 06:45:00,8355.16,162,TRADE
NSW1,2022/09/02 06:50:00,8454.78,162,TRADE
NSW1,2022/09/02 06:55:00,8522.27,159.88,TRADE
NSW1,2022/09/02 07:00:00,8583.31,162,TRADE
NSW1,2022/09/02 07:05:00,8615.99,160.08,TRADE
NSW1,2022/09/02 07:10:00,8571.8,191.26,TRADE
NSW1,2022/09/02 07:15:00,8610.54,157.19,TRADE
NSW1,2022/09/02 07:20:00,8704.34,159.26,TRADE
NSW1,2022/09/02 07:25:00,8702.87,162,TRADE
NSW1,2022/09/02 07:30:00,8792.53,230,TRADE
NSW1,2022/09/02 07:35:00,8826.49,162,TRADE
NSW1,2022/09/02 07:40:00,8768.04,167.32,TRADE
NSW1,2022/09/02 07:45:00,8857.2,153.41,TRADE
NSW1,2022/09/02 07:50:00,8840.7,152.06,TRADE
NSW1,2022/09/02 07:55:00,8845.48,150.93,TRADE
NSW1,2022/09/02 08:00:00,8825.95,148.99,TRADE
NSW1,2022/09/02 08:05:00,8841.4,152.32,TRADE
NSW1,2022/09/02 08:10:00,8805.03,149.58,TRADE
NSW1,2022/09/02 08:15:00,8723.6,148.54,TRADE
NSW1,2022/09/02 08:20:00,8770.92,148.99,TRADE
NSW1,2022/09/02 08:25:00,8784.94,150.42,TRADE
NSW1,2022/09/02 08:30:00,8745.09,150.66,TRADE
NSW1,2022/09/02 08:35:00,8708.99,152.15,TRADE
NSW1,2022/09/02 08:40:00,8651.76,151.85,TRADE
NSW1,2022/09/02 08:45:00,8501.34,148.99,TRADE
NSW1,2022/09/02 08:50:00,8463.99,148.81,TRADE
NSW1,2022/09/02 08:55:00,8330.16,147.27,TRADE
NSW1,2022/09/02 09:00:00,8219.41,149,TRADE
NSW1,2022/09/02 09:05:00,8176.75,150.45,TRADE
NSW1,2022/09/02 09:10:00,8220.66,153.76,TRADE
NSW1,2022/09/02 09:15:00,8060.39,149,TRADE
NSW1,2022/09/02 09:20:00,8187.42,148.99,TRADE
NSW1,2022/09/02 09:25:00,8217.11,148.99,TRADE
NSW1,2022/09/02 09:30:00,8298.73,159.99,TRADE
NSW1,2022/09/02 09:35:00,8230.05,181.03,TRADE
NSW1,2022/09/02 09:40:00,8270.49,175.47,TRADE
NSW1,2022/09/02 09:45:00,8305.86,149.02,TRADE
NSW1,2022/09/02 09:50:00,8230.21,149.02,TRADE
NSW1,2022/09/02 09:55:00,8221.81,149.02,TRADE
NSW1,2022/09/02 10:00:00,8308.25,162,TRADE
NSW1,2022/09/02 10:05:00,8183.62,186.54,TRADE
NSW1,2022/09/02 10:10:00,8274.52,229.99,TRADE
NSW1,2022/09/02 10:15:00,8197.65,162,TRADE
NSW1,2022/09/02 10:20:00,8077.93,123.40,TRADE
NSW1,2022/09/02 10:25:00,8116.32,162,TRADE
NSW1,2022/09/02 10:30:00,8094.53,166.98,TRADE
NSW1,2022/09/02 10:35:00,8093.46,173.73,TRADE
NSW1,2022/09/02 10:40:00,7966.65,162,TRADE
NSW1,2022/09/02 10:45:00,7899.95,162,TRADE
NSW1,2022/09/02 10:50:00,8037.15,187.65,TRADE
NSW1,2022/09/02 10:55:00,8005.86,229.99,TRADE
NSW1,2022/09/02 11:00:00,8022.78,126.81,TRADE
NSW1,2022/09/02 11:05:00,8050.92,149.02,TRADE
NSW1,2022/09/02 11:10:00,8011.45,136.68,TRADE
NSW1,2022/09/02 11:15:00,7926.56,144.07,TRADE
NSW1,2022/09/02 11:20:00,7890.44,121.12,TRADE
NSW1,2022/09/02 11:25:00,7980.85,121.11,TRADE
NSW1,2022/09/02 11:30:00,7992.13,149.02,TRADE
NSW1,2022/09/02 11:35:00,7994.32,147.14,TRADE
NSW1,2022/09/02 11:40:00,7841.59,96.20,TRADE
NSW1,2022/09/02 11:45:00,7985.18,147.15,TRADE
NSW1,2022/09/02 11:50:00,7896.63,80.05,TRADE
NSW1,2022/09/02 11:55:00,7915.33,89.75,TRADE
NSW1,2022/09/02 12:00:00,7953.92,149.02,TRADE
NSW1,2022/09/02 12:05:00,8052.64,152.20,TRADE
NSW1,2022/09/02 12:10:00,8023.43,149.02,TRADE
NSW1,2022/09/02 12:15:00,8040.59,149.85,TRADE
NSW1,2022/09/02 12:20:00,7954.67,150.63,TRADE
NSW1,2022/09/02 12:25:00,8010.75,162,TRADE
NSW1,2022/09/02 12:30:00,7997.88,154.73,TRADE
